λίθος	λίθον
λίθος	λίθου
λίθος	λίθους
λίθος	λίθῳ
λαμβάνω	λαβόντες
λαλέω	λαλοῦντες
λαλέω	λαλοῦντος
λαμβάνω	λαμβάνων
λάφυρα	λαφύρων
λέγω	λεγομένην
λέγω	λεγομένων
λέγω	λεγούσης
λέγω	λεγόμενα
λειτουργία	λειτουργίας
λαλέω	λελάληκα
λογάς	λογάδας
λογίζομαι	λογίζεται
λόγος	λόγοισι
λύπη	λύπην
λύπη	λύπης
λύσις	λύσιν
λύω	λύσω
ἐγώ	μ̓
μανθάνω	μάθε
μανθάνω	μάθετε
μάλα	μάλ̓
μάντις	μάντιν
μάρτυς	μάρτυρα
μάρτυς	μάρτυρες
μάστιξ	μάστιγα
μάστιξ	μάστιγι
μάχαιρα	μάχαιραν
μάχη	μάχας
μάχη	μάχης
μάχη	μάχῃ
ἐγώ	μέ
μέγας	μέγ̓
μέγας	μέγιστα
μέγας	μέγιστον
μέγας	μέζω
μέλλω	μέλλοντα
μέλλω	μέλλοντας
μέλλω	μέλλοντες
μέλλω	μέλλοντι
μέλλω	μέλλοντος
μέμαα	μέμασαν
μένω	μένοντες
μέσος	μέσσην
μέσος	μέσσον
μέσος	μέσσῳ
μῆδος	μήδεα
μήτε	μήθ̓
μήν	μήν
μήτε	μήτ̓
μήτε	μήτέ
μανθάνω	μαθόντες
μακάριος	μακάριοι
μακράν	μακράν
μαντεῖον	μαντήιον
μαρμαίρω	μαρμαίροντα
μαρτυρία	μαρτυρίαν
μάρτυς	μαρτύρων
μάχομαι	μαχόμενοι
μέγας	μείζονα
μέγας	μείζων
μέλινος	μείλινον
μέγας	μεγάλ̓
μεθερμηνεύω	μεθερμηνευόμενον
μέμαα	μεμαώς
μέμαα	μεμαῶτα
μέμαα	μεμαῶτε
μεσημβρία	μεσαμβρίην
μετά	μετ̓
μετάνοια	μετάνοιαν
μετεῖπον	μετέειπε
μετεῖπον	μετέειπεν
μεταπέμπω	μεταπεμψάμενος
μεθίημι	μετείς
μετανοέω	μετενόησαν
μετόπισθε	μετόπισθε
ἐγώ	μευ
μέγας	μεῖζον
μηκέτι	μηκέτ̓
μηχανάομαι	μηχανᾶται
μιν	μιν
εἷς	μιᾷ
μνεία	μνείαν
ἐγώ	μοί
ἐγώ	μού
μόνος	μούνη
μόνος	μούνοισι
μόνος	μούνους
μόνος	μοῦνα
μόνος	μοῦνοι
μόνος	μοῦνον
μυριάς	μυριάδας
μυριάς	μυριάδες
μυριάς	μυριάδων
Μωϋσῆς	μωϋσῆς
μύρον	μύρου
μᾶλλον	μᾶλλόν
ἐγώ	μ’
ναῦς	νέα
ναῦς	νέες
ναῦς	νέεσσιν
νέος	νέον
νέος	νέων
ναῦς	νήεσσι
νῆσος	νήσων
ναίω	ναίουσιν
ναυμαχία	ναυμαχίαν
ναυμαχία	ναυμαχίας
ναυμαχία	ναυμαχίῃ
νέατος	νείατον
νομίζω	νενομίκασι
ναῦς	νεός
νέος	νεώτερα
νεῖκος	νεῖκος
ναῦς	νηί
νηλής	νηλεές
ναός	νηοῦ
ναῦς	νηυσί
ναῦς	νηυσίν
ναός	νηόν
ναῦς	νηῶν
ναός	νηῷ
νικάω	νικήσαντες
νιν	νιν
νομάς	νομάδες
νομάς	νομάδων
νομίζω	νομίζοντες
νομίζω	νομίζουσι
